Id,North_America_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales
1404,0.21,0.14,0.21,0.04,0.6
102,0.29,0.23,0.0,0.08,0.6
904,0.0,0.53,0.0,0.06,0.59
1079,0.13,0.35,0.0,0.11,0.59
1386,0.29,0.23,0.0,0.08,0.59
1419,0.05,0.09,0.42,0.03,0.59
491,0.2,0.22,0.08,0.08,0.59
601,0.25,0.25,0.0,0.09,0.59
1426,0.22,0.17,0.14,0.06,0.58
1079,0.23,0.29,0.0,0.07,0.58
1479,0.32,0.22,0.0,0.04,0.58
961,0.28,0.0,0.27,0.02,0.57
878,0.3,0.17,0.04,0.05,0.57
446,0.01,0.45,0.0,0.11,0.57
1112,0.27,0.05,0.22,0.03,0.56
1026,0.39,0.09,0.07,0.01,0.56
1044,0.26,0.14,0.12,0.04,0.56
991,0.34,0.01,0.15,0.06,0.55
577,0.18,0.27,0.0,0.1,0.55
1393,0.29,0.2,0.02,0.04,0.55
698,0.22,0.24,0.03,0.05,0.55
683,0.21,0.13,0.13,0.06,0.54
1108,0.29,0.08,0.16,0.01,0.54
858,0.16,0.28,0.0,0.09,0.53
1347,0.23,0.2,0.01,0.08,0.53
1460,0.41,0.11,0.0,0.01,0.53
1468,0.44,0.02,0.0,0.07,0.53
703,0.26,0.2,0.0,0.07,0.52
1128,0.17,0.29,0.0,0.06,0.52
1339,0.26,0.15,0.01,0.1,0.52
1455,0.38,0.12,0.0,0.02,0.52
1042,0.0,0.46,0.0,0.06,0.51
1511,0.34,0.13,0.0,0.04,0.51
694,0.28,0.03,0.17,0.03,0.51
882,0.26,0.19,0.0,0.06,0.51
483,0.14,0.25,0.02,0.09,0.51
1131,0.27,0.15,0.04,0.04,0.5
748,0.25,0.19,0.0,0.06,0.5
1463,0.11,0.25,0.01,0.13,0.5
798,0.29,0.16,0.0,0.04,0.5
530,0.25,0.2,0.01,0.04,0.5
1205,0.31,0.13,0.02,0.04,0.49
1228,0.24,0.15,0.07,0.03,0.49
